,SA1_code,apr20_test_daily_coverage
195,20602111006,0.6536813592711155
196,20602111007,0.4498174636423484
197,20602111008,0.6285730685340375
198,20602111009,20.0
199,20602111010,1.026562964851885
201,20602111012,1.9406748238783835
202,20602111013,2.03767582881853
203,20602111014,1.1885717711955872
205,20602111016,0.4591462236816689
207,20602111018,7.196646619281938
210,20602111021,22.387096774193548
211,20602111022,7.991454442558007
212,20602111101,1.0491999657739368
215,20602111104,4.533612733892134
216,20602111105,6.417930966759955
217,20602111106,5.7167974426038946
218,20602111107,1.1927024588314912
219,20602111108,1.1355780550977161
220,20602111109,9.51384711129551
221,20602111110,0.5400624349635796
222,20602111111,1.4512603560726247
223,20602111112,0.5149051490514905
224,20602111113,1.8956571012263732
225,20602111114,3.4890065800032097
226,20602111115,0.6715716819249388
227,20602111116,4.672202704141381
229,20602111118,2.3008404939662865
230,20602111119,1.5308778294818202
231,20602111120,2.9648956356736247
234,20602111123,3.3342698038428735
236,20602111125,1.9446002805049087
237,20602111126,12.436683551053056
238,20602111127,1.2205222734254995
239,20602111128,0.5739552785923754
240,20602111129,0.5188172043010753
241,20602111130,0.4456755493221132
242,20602111131,4.232896992364033
243,20602111132,1.4499895266024299
244,20602111133,0.2237575642064135
245,20602111134,0.45788935921763246
246,20602111135,0.2410155770881884
247,20602111136,5.599157375095753
248,20602111137,0.4763704037897586
249,20602111138,3.224769585253456
250,20602111139,2.1437886067261496
251,20602111140,1.951511462771353
252,20602111141,1.8164992067689052
253,20602111142,12.811901204183878
254,20602111143,0.9022892819979189
255,20602111144,3.196185838912559
256,20602111145,3.8107493174234
257,20602111146,3.117960847466156
258,20602111147,1.0620013874436351
260,20602111149,0.2924731182795699
261,20602111150,4.058165322580645
263,20602111152,3.5070089511906777
265,20602111201,2.96517270910648
266,20602111202,1.373021438589461
267,20602111203,1.9349539643637808
268,20602111204,4.893150239700983
269,20602111205,2.572124163116251
270,20602111206,2.746555357432323
271,20602111207,0.2211342512053283
272,20602111208,4.312436140709385
274,20602111210,0.6386154168412232
275,20602111211,1.962483567600364
276,20602111212,6.410954301075268
277,20602111213,4.61577216429921
278,20602111214,2.242773355676581
280,20602111216,1.9673913043478262
281,20602111217,0.19934591942916605
282,20602111218,1.290232474319697
284,20602111220,1.4370304904993372
286,20602111222,0.41546162402669623
288,20602111224,1.9079382889200562
289,20602111225,4.1658515940938585
290,20602111226,5.885717950362343
291,20602111227,0.40437504953633985
292,20602111228,2.4216003066980667
293,20602111229,0.6706965708152082
294,20602111230,3.9735429655733268
295,20602111231,0.9326207291467837
