,SA1_code,jan22_test_daily_coverage
144,20601110839,1.5329696394686907
145,20601110840,2.076482830385016
146,20601110841,2.2447853504729562
148,20601110843,2.4528509526102207
149,20601110844,0.7628048416910143
150,20601110845,3.2554938220416285
151,20601110846,1.0009432182607056
152,20601110847,3.54976630143284
153,20601110848,0.499900438072481
154,20601110849,0.4394553412222403
155,20601110850,0.7472120981341458
156,20601110851,2.18031895614353
157,20601110852,2.1113737486095663
158,20601110853,2.225138801040129
159,20601110854,2.631191262382525
160,20601110855,0.8485600421084292
161,20601110856,1.3612015389168393
162,20601110857,0.05868349006070706
163,20601110858,1.5994488571891716
164,20601110859,2.0989499574307064
165,20601110860,4.186757215619695
166,20601110901,5.076446492575524
167,20601110902,2.5129371816638373
168,20601110903,1.8278055429350295
169,20601110904,2.395749941134919
170,20601110905,1.189753320683112
171,20601110906,2.2112187603214797
172,20601110907,2.423114237205918
173,20601110908,2.357569551117938
174,20601110909,2.347267939433838
175,20601110910,7.311028170265706
176,20601110911,4.19572121009527
177,20601110912,3.1143562917756467
178,20601110913,5.679305791360121
179,20601110914,7.381383493012218
180,20601110915,1.959144370314327
181,20601110916,2.1039898132427846
182,20601110917,2.5843032923179248
183,20601110918,3.292905423970984
184,20601110919,4.969175627240143
185,20601110920,4.641137855579869
186,20601110921,5.40252148189886
187,20601110922,5.991299200947026
189,20601110924,4.805356431700518
191,20602111002,3.3121598300809767
192,20602111003,1.2227869759951688
193,20602111004,2.326507713884993
194,20602111005,1.583059687077458
195,20602111006,1.7531642452597882
196,20602111007,1.1879825243880544
197,20602111008,1.3125358741820685
198,20602111009,2.0516129032258066
199,20602111010,2.589102809299163
201,20602111012,1.0439995056235323
202,20602111013,1.3862020975197573
203,20602111014,0.6732821681256745
205,20602111016,1.4498744446590688
207,20602111018,2.7443654698985482
210,20602111021,1.2956989247311825
211,20602111022,0.8426146010186757
212,20602111101,1.0557029177718833
215,20602111104,1.6387689442045552
216,20602111105,2.335935582069033
217,20602111106,1.4648358035454812
218,20602111107,1.4665576359124746
219,20602111108,0.729879915234283
220,20602111109,4.34425889430557
221,20602111110,1.02229820127843
222,20602111111,0.30274986779481755
223,20602111112,2.2650581344523126
224,20602111113,0.8823410369530903
225,20602111114,1.7913122559246777
226,20602111115,1.8802665005032833
227,20602111116,2.1683168316831685
229,20602111118,4.203737615626614
230,20602111119,1.2262796750532376
231,20602111120,0.8071293033342368
234,20602111123,1.587819194300908
236,20602111125,0.6770186335403728
237,20602111126,0.8676086376966142
238,20602111127,0.4565898617511521
239,20602111128,1.6787023460410557
240,20602111129,0.3404857910906298
241,20602111130,1.6546984572230012
242,20602111131,0.9234844943119839
243,20602111132,1.4910452450775031
244,20602111133,0.7945394768189832
245,20602111134,0.4254123485622537
246,20602111135,1.24169017539556
247,20602111136,2.436632904928079
