,SA1_code,apr20_base_daily_coverage
200,10201103602,0.9139784946236558
201,10201103603,0.6284946236559139
202,10201103604,1.7643807805098126
203,10201103605,1.154335602249186
204,10201103606,1.950449994943877
205,10201103607,1.1126881720430106
206,10201103608,0.7474587226041484
207,10201103609,1.4665843494366417
208,10201103610,1.0715287517531558
209,10201103611,4.342039263166998
210,10201103612,0.634638606175608
211,10201103613,2.2147535614868183
212,10201103614,0.7211641471253423
213,10201103615,1.9289841116995665
214,10201103616,0.499900438072481
215,10201103617,0.6267281105990783
216,10201103618,0.20190299373404502
217,10201103619,0.7488659274193549
218,10201103620,1.8987764182424915
219,10201103621,2.5536103776833885
220,10201103622,0.3477858711989826
221,10201103701,0.9547827708372181
222,10201103702,0.35453031517917716
223,10201103703,1.0515492060603302
224,10201103704,1.7438944756432022
225,10201103705,0.8582580645161291
