,SA1_code,jan22_test_daily_coverage
200,10201103602,5.677684853312093
201,10201103603,1.03363201911589
202,10201103604,3.0268441236183175
203,10201103605,2.3719295649600474
204,10201103606,1.5310951562341997
205,10201103607,0.7664516129032258
206,10201103608,2.0732122921440745
207,10201103609,5.736301898441118
208,10201103610,1.1175198690977093
209,10201103611,2.1615497708207214
210,10201103612,0.09039158185268242
211,10201103613,4.43974128049779
212,10201103614,2.5365432686584928
213,10201103615,2.310544053923929
214,10201103616,3.311827956989248
215,10201103617,3.5292836196062
216,10201103618,4.422023671385472
217,10201103619,1.2211441532258065
218,10201103620,2.092386602397726
219,10201103621,3.352313167259786
220,10201103622,0.21944733495201757
221,10201103701,2.4838243520417675
222,10201103702,1.4870782705236538
223,10201103703,0.8983120251148825
224,10201103704,1.0365678464150452
225,10201103705,1.957483870967742
