,SA1_code,jan22_base_daily_coverage
253,20602111142,2.4581172541091676
254,20602111143,2.4065036420395423
255,20602111144,1.6439440048691418
256,20602111145,2.1256446556780264
257,20602111146,1.4946404307785215
258,20602111147,1.9945369406867846
260,20602111149,1.2055197132616489
261,20602111150,1.2772177419354838
263,20602111152,1.1976017564600574
265,20602111201,1.8462270434865353
266,20602111202,1.506661991584853
267,20602111203,2.332980062264026
268,20602111204,2.073129113512635
269,20602111205,1.6445994662671473
270,20602111206,1.1470254498297943
271,20602111207,1.014265122521
272,20602111208,1.0467085097066122
274,20602111210,1.9797863426895685
275,20602111211,2.4444332086156337
276,20602111212,1.688508064516129
277,20602111213,0.8863620460429642
278,20602111214,1.315301633850021
280,20602111216,1.3757363253856942
281,20602111217,1.007730043109856
282,20602111218,0.28725896557938363
284,20602111220,1.176866990720283
286,20602111222,0.8410270671116055
288,20602111224,3.588499298737728
289,20602111225,2.519890905671024
290,20602111226,2.099788366574745
291,20602111227,3.4608068479036223
292,20602111228,1.3755408291801303
293,20602111229,1.901474492966499
294,20602111230,2.470371374356194
295,20602111231,3.0275815995418975
297,20602111233,1.4840169318347687
298,20602111234,1.7316269284712482
299,20602111235,1.4096081535721354
300,20602111236,0.922081523246141
301,20602111237,2.3885361104055542
302,20602111238,1.591016548463357
303,20602111239,3.9253436776915747
304,20602111240,3.06649991374849
305,20602111241,1.1790845941573889
306,20602111242,2.6586342289629687
308,20603111302,0.582856399583767
309,20603111303,1.241315136476427
310,20603111304,2.3955442097934556
311,20603111305,2.071533305404273
312,20603111306,1.8652311273694713
313,20603111307,1.9272624576377557
314,20603111308,2.1256247160381645
315,20603111309,0.7027211348291619
316,20603111310,3.7143424317617866
317,20603111311,1.8170210966896376
318,20603111312,1.8761125688120595
319,20603111313,1.6853436185133237
320,20603111314,2.1731254961391353
321,20603111315,1.0508850922099549
322,20603111316,0.7721686915235303
323,20603111317,1.5053253834785711
324,20603111318,3.954838709677419
325,20603111319,0.9359250906951664
326,20603111320,0.9986006775666519
327,20603111321,1.3043822276323798
328,20603111322,8.267972882366088
329,20603111323,3.9053233039201505
330,20603111324,1.7806845003933909
331,20603111325,1.162572099978637
332,20603111326,2.4337459601195195
333,20603111327,2.797513868913088
334,20603111328,2.63750243395859
335,20603111329,2.165605782716582
336,20603111330,0.7845294656997583
338,20603111332,1.946204365462623
339,20603111401,3.8840159478071765
340,20603111402,3.7851227732306207
341,20603111403,2.6338366506520248
342,20603111404,1.4403098806197614
345,20603111407,1.9124359148858945
346,20603111408,2.0107310093652444
347,20603111409,1.1315777294395335
348,20603111410,1.889733479025132
349,20603111411,1.5337067799884105
350,20603111412,0.8345684394071491
351,20603111413,2.7156390363413636
352,20603111414,2.8716772301579794
353,20603111415,0.8626467570956343
354,20603111416,1.249519333475753
355,20603111417,3.4919703951962013
356,20603111418,0.7962718138551033
357,20603111419,1.7567645642753973
358,20603111420,1.6032796982061743
360,20603111422,1.458828522920204
361,20603111423,1.5839285714285714
363,20603111425,1.767240396671606
364,20603111426,3.253181917928462
365,20603111427,2.547401152796036
366,20603111428,3.686408465173618
367,20603111429,3.592741935483871
368,20603111430,4.242517459261723
369,20603111431,1.683671433322248
370,20603111432,1.0749403588839332
371,20603111433,1.241907137592834
372,20603111434,3.765740900465758
373,20603111435,2.9775596072931276
374,20603111436,2.1210209145693018
375,20603111437,0.8173020527859238
376,20603111438,1.3681626928471247
377,20603111439,1.2911561223639243
378,20603111440,2.432415181420926
379,20603111441,1.9671523625031584
380,20603111442,0.7079769942485621
381,20603111443,2.9241554483108967
382,20603111444,3.2413044116352103
383,20603111445,2.7939460014108892
384,20603111446,1.091077951829608
385,20603111447,1.257375241246209
386,20603111448,3.9549411162314385
387,20603111449,1.886442090227354
388,20603111450,5.29813999460868
389,20603111451,2.556451612903226
390,20603111452,1.426153846153846
391,20603111453,1.257006874669487
392,20603111454,1.1989247311827953
393,20603111455,0.7169698009608786
394,20603111456,1.7923549251924242
395,20603111457,2.5224403927068724
396,20603111458,2.0366058906030857
397,20603111459,4.09765468662451
398,20603111460,0.7618407578084997
399,20603111461,4.0433416046319275
400,20603111501,3.4271684587813622
401,20603111502,1.2463452941887156
402,20603111503,2.343564845292956
403,20603111504,1.7908847184986596
404,20603111505,4.068893528183716
405,20603111506,4.669135802469135
406,20603111507,1.495986438649848
407,20603111508,2.3001983784716233
408,20603111509,0.956386292834891
409,20603111510,2.9700367164961974
410,20603111511,2.3628177362361793
412,20603111513,1.2427345368452205
413,20603111514,1.208828522920204
414,20603111515,1.9290046870692032
417,20603111519,3.9752414218204235
418,20603111520,3.4605666625781923
419,20603111521,0.047558717473930416
420,20603111522,1.4599026851684989
421,20603111523,2.519080301990391
422,20603111524,2.506108442004118
423,20603111601,0.6680497925311204
425,20603111603,8.7337128399747
426,20603111604,5.259313948205362
427,20603111605,2.643424651586854
428,20603111606,0.7741935483870968
