,SA1_code,jan22_base_daily_coverage
201,10201103603,2.102270011947431
202,10201103604,3.2644935709451834
203,10201103605,2.7029446581828944
204,10201103606,1.8516533522095258
205,10201103607,0.4754121863799283
206,10201103608,0.5715376931664611
207,10201103609,4.790862787467201
208,10201103610,1.2505259467040672
209,10201103611,1.537230822450921
210,10201103612,0.2879075383819217
211,10201103613,3.089159980350418
212,10201103614,0.924294726818236
213,10201103615,3.7262879152623976
214,10201103616,2.0170250896057347
215,10201103617,2.5654796816087138
216,10201103618,3.481782316082618
217,10201103619,1.0238785282258065
218,10201103620,2.263502657273514
219,10201103621,3.214958098955344
220,10201103622,0.6755694299919066
221,10201103701,2.406255826962521
222,10201103702,1.522235243323259
223,10201103703,1.2526047590882208
224,10201103704,1.0274258848112838
225,10201103705,1.4021290322580646
226,10201103706,1.6323706861877565
